SubstationID,LoadRelayCount,OvercurrentCount,FromDistanceRelayCount,ToDistanceRelayCount,TotalRelayCount,CountLoad,CountLine,CountBus,Longitude,Latitude,Name,ZoneName,AreaName,NomkVMax,GenMWMax,GenMW,GenMvar,LoadMW,LoadMvar,ShuntMW,ShuntMvar
1,1,4,4,0,9,1,4,1,-102.26,31.91,ODESSA 2,Far West Texas,Far West,115,0,,,20.78,5.89,,
2,1,1,1,1,4,1,2,1,-104.52,29.89,PRESIDIO 2,Far West Texas,Far West,115,0,,,15.41,4.37,,
3,0,2,2,3,7,0,3,2,-101.65,32.93,O DONNELL 1,Far West Texas,Far West,230,211,158.25,-30.38,,,,
4,0,2,2,3,7,0,3,2,-101.39,32.21,BIG SPRING 5,Far West Texas,Far West,115,34.3,25.73,-4.94,,,,
5,1,1,1,2,5,1,3,1,-104.62,31.09,VAN HORN,Far West Texas,Far West,115,0,,,7.01,1.99,0,0.09
6,0,3,3,1,7,0,2,2,-102.2,30.93,IRAAN 2,Far West Texas,Far West,115,82.5,61.87,-11.88,,,,
7,0,4,4,1,9,0,3,2,-104.3,29.6,PRESIDIO 1,Far West Texas,Far West,115,10,9.97,0,,,0,-2.32
8,1,1,1,1,4,1,2,1,-101.97,30.03,SANDERSON,Far West Texas,Far West,115,0,,,2.99,0.85,0,9.82
9,3,1,1,2,7,3,3,1,-103.16,31.48,MONAHANS 2,Far West Texas,Far West,115,0,,,29.23,8.28,,
10,1,2,2,0,5,1,2,1,-103.09,31.17,GRANDFALLS,Far West Texas,Far West,115,0,,,2.22,0.63,,
11,1,0,0,2,3,1,2,1,-104.01,30.29,MARFA,Far West Texas,Far West,115,0,,,7.51,2.13,,
12,1,1,1,1,4,1,2,1,-101.5,31.76,GARDEN CITY,Far West Texas,Far West,115,0,,,2.89,0.82,0,31.15
13,1,1,1,3,6,1,4,1,-102.41,31.73,ODESSA 4,Far West Texas,Far West,115,0,,,18.34,5.2,,
14,1,1,1,1,4,1,2,1,-102.63,31.8,NOTREES,Far West Texas,Far West,115,0,,,0.07,0.02,,
15,1,4,4,1,10,1,5,1,-102.13,31.98,MIDLAND 4,Far West Texas,Far West,115,0,,,61.78,17.5,0,144.14
16,0,3,3,3,9,0,4,2,-101.12,31.99,BIG SPRING 1,Far West Texas,Far West,115,199.5,149.63,-28.73,,,0,80.76
17,0,4,4,1,9,0,3,2,-101.58,32.93,O DONNELL 2,Far West Texas,Far West,115,180,135,-0.55,,,,
18,1,2,2,0,5,1,2,1,-102.63,31.97,ODESSA 6,Far West Texas,Far West,115,0,,,63.04,17.86,,
19,0,3,3,1,7,0,2,2,-101.22,32.04,BIG SPRINGS,Far West Texas,Far West,115,124.2,93.15,-6.13,,,,
20,2,1,1,1,5,2,2,1,-102.04,32.32,MIDLAND 2,Far West Texas,Far West,115,0,,,101.21,28.68,0,77.11
21,4,1,1,2,8,4,3,1,-101.25,32.88,COAHOMA,Far West Texas,Far West,115,0,,,10.01,2.84,,
22,1,1,1,1,4,1,2,1,-102.08,31.99,MIDLAND 3,Far West Texas,Far West,115,0,,,83.18,23.57,0,69.4
23,2,1,1,2,6,2,3,1,-103.22,29.8,ALPINE,Far West Texas,Far West,115,0,,,24.63,6.98,0,0
24,1,1,1,1,4,1,2,1,-103.76,31,FORT DAVIS,Far West Texas,Far West,115,0,,,9.25,2.62,,
25,0,4,4,3,11,0,5,2,-102.24,31.21,MCCAMEY 1,Far West Texas,Far West,230,278,208.5,-40.03,,,0,52.62
26,0,1,1,3,5,0,2,2,-101.3,31.99,BIG SPRING 4,Far West Texas,Far West,115,90,67.5,-9.15,,,,
27,2,0,0,2,4,2,2,1,-102.6,31.19,CRANE,Far West Texas,Far West,115,0,,,13.6,3.85,,
28,1,2,2,0,5,1,2,1,-102.47,31.8,ODESSA 5,Far West Texas,Far West,115,0,,,102.24,28.97,,
29,0,2,2,4,8,0,4,2,-102.51,30.77,FORT STOCKTON 1,Far West Texas,Far West,115,147.5,110.63,-20.76,,,,
30,1,1,1,1,4,1,2,1,-102.7,32.34,ANDREWS,Far West Texas,Far West,115,0,,,44.36,12.57,,
31,0,3,3,3,9,0,2,3,-101.4,32.14,FORSAN,Far West Texas,Far West,115,180.7,44.1,-3.61,,,,
32,2,1,1,1,5,2,2,1,-101.17,31.27,BIG LAKE,Far West Texas,Far West,115,0,,,14.68,4.16,,
33,1,1,1,2,5,1,3,1,-102.2,32.05,MIDLAND 5,Far West Texas,Far West,115,0,,,98.56,27.93,,
34,2,1,1,1,5,2,2,1,-101.33,30.58,OZONA,Far West Texas,Far West,115,0,,,11.08,3.14,0,12.68
35,0,10,10,7,27,0,5,7,-102.96,31.58,MONAHANS 1,Far West Texas,Far West,230,1097.4,267.46,-22.94,,,,
36,3,1,1,1,6,3,2,1,-101.75,32.49,STANTON,Far West Texas,Far West,115,0,,,14.99,4.25,,
37,1,2,2,0,5,1,2,1,-101.76,32.93,ODONNELL,Far West Texas,Far West,115,0,,,3.98,1.13,,
38,0,4,4,3,11,0,5,2,-101.84,32.24,LENORAH,Far West Texas,Far West,115,120,0,0,,,0,59.55
39,2,4,4,4,14,2,4,3,-101.92,30.88,IRAAN 3,Far West Texas,Far West,115,7.6,0,0,13.46,3.81,,
40,0,3,3,4,10,0,3,3,-101.42,32.27,BIG SPRING 6,Far West Texas,Far West,115,231.5,0,0,,,,
41,2,0,0,3,5,2,3,1,-102.31,32,ODESSA 3,Far West Texas,Far West,115,0,,,123.76,35.07,,
42,0,2,2,2,6,0,2,2,-101.45,32.1,BIG SPRING 3,Far West Texas,Far West,115,142.5,106.88,-3.74,,,,
43,1,2,2,1,6,1,3,1,-101.37,32.1,BIG SPRING 7,Far West Texas,Far West,115,0,,,101.55,28.77,,
44,2,1,1,1,5,2,2,1,-101.92,31.52,MIDLAND 1,Far West Texas,Far West,115,0,,,59.4,16.83,,
45,0,3,3,3,9,0,4,2,-102.09,30.92,IRAAN 1,Far West Texas,Far West,115,160.5,120.38,18.58,,,,
46,1,12,12,18,43,1,10,11,-102.33,31.84,ODESSA 1,Far West Texas,Far West,500,1725.78,1052.1,135.94,91.46,25.91,0,84.63
47,0,2,2,0,4,0,2,1,-102.36,30.81,FORT STOCKTON 2,Far West Texas,Far West,115,150,112.5,-21.6,,,,
48,1,2,2,1,6,1,3,1,-102.79,30.75,FORT STOCKTON 3,Far West Texas,Far West,115,0,,,39.95,11.32,0,27.35
49,0,2,2,1,5,0,3,1,-101.3,31.94,BIG SPRING 2,Far West Texas,Far West,115,115.5,86.62,24.6,,,,
50,2,1,1,2,6,2,3,1,-103.14,31.7,KERMIT,Far West Texas,Far West,115,0,,,21.3,6.03,,
51,1,1,1,1,4,1,2,1,-103.6,31.8,PECOS,Far West Texas,Far West,115,0,,,39.67,11.24,0,31.13
52,1,1,1,3,6,1,4,1,-101.78,30.6,SHEFFIELD,Far West Texas,Far West,115,0,,,0.91,0.26,0,14.9
53,0,2,2,0,4,0,2,1,-102.23,31.14,MCCAMEY 2,Far West Texas,Far West,115,75,56.25,-3.26,,,,
54,2,1,1,1,5,2,2,1,-102.13,32.93,LAMESA,Far West Texas,Far West,115,0,,,40.6,11.5,,
55,0,1,1,2,4,0,3,1,-102.83,32,GOLDSMITH,Far West Texas,Far West,115,188.5,141.37,31.15,,,,
56,2,1,1,2,6,2,3,1,-101.53,33.66,RALLS 2,Far West Texas,Far West,161,0,,,11.62,3.29,,
57,2,0,0,2,4,2,2,1,-95.34,33.68,PARIS 3,Red River,North,161,0,,,48.36,13.7,,
58,0,6,6,6,18,0,4,5,-96.37,33.63,SAVOY,Red River,North,500,1175.4,0,0,,,,
59,1,2,2,0,5,1,2,1,-95.9,33.62,HONEY GROVE,Red River,North,161,0,,,9.54,2.7,,
60,1,1,1,1,4,1,2,1,-100.51,34.86,MEMPHIS,Panhandle,North,161,0,,,8.06,2.28,,
61,1,2,2,1,6,1,3,1,-98.72,33.97,IOWA PARK,Red River,North,161,0,,,39.14,11.09,0,125.84
62,5,2,2,1,10,5,3,1,-99.77,33.9,VERNON 2,Panhandle,North,161,0,,,56.81,16.09,0,32.01
63,0,5,5,4,14,0,5,3,-101.31,35.24,PANHANDLE 2,Panhandle,North,500,200.6,150.45,-28.89,,,,
64,2,2,2,0,6,2,2,1,-100.81,34.45,CHILDRESS,Panhandle,North,161,0,,,25.43,7.2,,
65,1,1,1,1,4,1,2,1,-97.45,33.47,FORESTBURG,Red River,North,161,0,,,4.69,1.33,,
66,1,0,0,2,3,1,2,1,-96.77,33.63,SHERMAN 3,Red River,North,161,0,,,69.27,19.63,,
67,0,5,5,2,12,0,3,3,-101.25,35.43,PANHANDLE 4,Panhandle,North,500,218,0,0,,,0,-212.57
68,1,0,0,2,3,1,2,1,-98.52,33.94,WICHITA FALLS 6,Red River,North,161,0,,,47.97,13.59,,
69,1,6,6,5,18,1,5,4,-95.56,33.7,PARIS 2,Red River,North,500,250,249.31,38.14,11.56,3.28,,
70,1,1,1,1,4,1,2,1,-98.49,33.86,WICHITA FALLS 4,Red River,North,161,0,,,39.62,11.23,,
71,4,0,0,2,6,4,2,1,-100.77,35.83,WHEELER,Panhandle,North,161,0,,,18.57,5.26,,
72,1,2,2,0,5,1,2,1,-95.32,33.48,DEPORT,Red River,North,161,0,,,3.55,1.01,,
73,1,2,2,1,6,1,3,1,-98.39,34,WICHITA FALLS 3,Red River,North,161,0,,,14.24,4.03,,
74,1,1,1,1,4,1,2,1,-101.29,34.46,SILVERTON,Panhandle,North,161,0,,,3.2,0.91,,
75,2,1,1,1,5,2,2,1,-96.24,33.71,BONHAM,Red River,North,161,0,,,47.15,13.36,,
76,3,2,2,0,7,3,2,1,-100.38,33.71,MATADOR,Panhandle,North,161,0,,,5.77,1.63,,
77,1,1,1,1,4,1,2,1,-95.65,33.86,ARTHUR CITY,Red River,North,161,0,,,3.35,0.95,,
78,2,1,1,1,5,2,2,1,-96.18,33.44,LEONARD,Red River,North,161,0,,,13.57,3.85,,
79,1,1,1,1,4,1,2,1,-96.84,33.83,GORDONVILLE,Red River,North,161,0,,,5.34,1.51,,
80,2,2,2,0,6,2,2,1,-99.85,33.43,KNOX CITY,Panhandle,North,161,0,,,4.68,1.33,,
81,1,2,2,0,5,1,2,1,-98.54,33.89,WICHITA FALLS 7,Red River,North,161,0,,,41.59,11.78,,
82,2,1,1,2,6,2,3,1,-97.31,33.62,LINDSAY,Red River,North,161,0,,,3.5,0.99,,
83,1,1,1,1,4,1,2,1,-96.28,33.55,ECTOR,Red River,North,161,0,,,2.6,0.74,,
84,1,2,2,0,5,1,3,1,-97.75,33.46,SUNSET,Red River,North,161,0,,,5.56,1.58,,
85,1,1,1,2,5,1,3,1,-95,33.66,CLARKSVILLE,Red River,North,161,0,,,15.9,4.51,,
86,0,2,2,2,6,0,2,2,-101.58,35.39,PANHANDLE 3,Panhandle,North,161,79.6,59.7,-11.46,,,,
87,1,1,1,1,4,1,2,1,-96.84,33.74,SADLER,Red River,North,161,0,,,4.24,1.2,,
88,1,1,1,1,4,1,2,1,-96.94,33.74,WHITESBORO,Red River,North,161,0,,,27.4,7.76,,
89,1,1,1,1,4,1,2,1,-98.51,33.97,SHEPPARD AFB,Red River,North,161,0,,,22.61,6.4,,
90,1,1,1,1,4,1,2,1,-96.73,33.8,POTTSBORO,Red River,North,161,0,,,22.13,6.27,,
91,2,0,0,2,4,2,2,1,-96.43,33.62,BELLS,Red River,North,161,0,,,14.96,4.24,,
92,1,0,0,3,4,1,3,1,-100.99,33.77,CROSBYTON,Panhandle,North,161,0,,,6.42,1.82,,
93,3,1,1,1,6,3,2,1,-99.11,34.13,ELECTRA,Panhandle,North,161,0,,,11.57,3.28,,
94,1,1,1,1,4,1,2,1,-95.48,33.4,PATTONVILLE,Red River,North,161,0,,,3.66,1.04,,
95,1,1,1,1,4,1,2,1,-98.2,33.76,HENRIETTA,Red River,North,161,0,,,17.85,5.06,,
96,2,0,0,2,4,2,2,1,-100.99,34.9,PANHANDLE 6,Panhandle,North,161,0,,,24.84,7.04,,
97,1,1,1,0,3,1,2,1,-97.96,33.52,BOWIE,Red River,North,161,0,,,29.13,8.25,,
